SMILES,ABL1,ACHE,ADRB2,AR,BRAF,COX2,DRD2,EGFR,HDAC1,HTR2A,JAK2,MAOA,VEGFR2
C/C=C1\NC(=O)[C@@H](CSC)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCSC)OC(=O)[C@H](C(C)C)NC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,0,0,0,0,0,0,0,0,1,0,0,0,0
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,0,1,0,0,0,0,0,0,0,0,0,0,0
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,0,1,0,0,0,0,0,0,0,0,0,0,0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,0,1,0,0,0,0,0,0,0,0,0,1,0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,0,1,0,0,0,0,0,0,0,0,0,1,0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,0,1,0,0,0,0,0,0,0,0,0,0,0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,0,0,0,0,0,0,0,0,0,0,0,0,0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,0,0,0,0,0,0,0,0,0,0,0,0,0
C/N=C1/CCc2c1n(C)c1ccccc21,0,0,0,0,0,0,0,0,0,0,0,1,0
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,0,0,0,0,0,0,0,0,0,0,0,0,0
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,0,0,0,0,0,0,0,0,0,0,0,0,0
C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCC1,0,0,0,0,0,0,0,0,0,0,0,0,1
C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCCC1,0,0,0,0,0,0,0,0,0,0,0,0,1
C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3,0,0,0,0,0,0,0,0,0,0,0,1,0
C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,0,0,0,0,0,0,0,0,0,0,0,1,0
C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0,0,0,0,0,0,0,1,0,0,0,0,0
C=C(C)C[N+](C)(C)c1ccc(O)cc1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)C[N+](C)(C)c1cccc(O)c1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)C[N+](C)(C)c1cccc(OC)c1.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)C[N+](C)(C)c1ccccc1O.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)C[N+](C)(C)c1ccccc1OC.[Br-],0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CCCCCCC(=O)NO)c1ccc2ccccc2c1,0,0,0,0,0,0,0,0,1,0,0,0,0
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN(C)C)C(=O)c1ccccc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CN1CCOCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CNN)c1ccc(Cl)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,1,0
C=C(CNN)c1ccc(F)cc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(CNN)c1ccccc1.Cl,0,0,0,0,0,0,0,0,0,0,0,0,0
